username,handle,postDate,content,retweets,likes
CG Angel,@CGAngel3,2020-10-29T16:14:58.000Z,"But their dealings with China and censorship are truly a threat to American freedom. Google, Facebook, and Twitter have AI programs that are contact tracing and these programs were used on the Uighur Muslims in China to put them in concentration camps if they dissented from CCP.",,1
Duke Of Nigeria.,@xagreat,2020-10-29T15:39:47.000Z,"The next big thing is Artificial Intelligence in technology, the applications of AI include but not limited to Google search, Face ID, voice recognition, disease detection etc.",8,12
Jesse K,@krumble,2020-10-29T15:37:20.000Z,"At one point when I clicked on ""Who is the No 1 Beautiful girl in the world"", Google stopped adding suggestions.  Content that this was what I needed to finish my report on Malala or that it was where I would be happy with my results.

Or maybe the AI stopped to judge me.",,
Spl0ite,@ExSpl0ite,2020-10-29T14:55:33.000Z,Your phone has a little thing inside it. A future you it knows what you like and when your going to do something. AI is here and it’s not terminators it’s Facebook apple and google,,
trstdtravlr,@trstdtravlr,2020-10-29T14:28:26.000Z,"Google AI Tech Will Be Used for Virtual Border Wall, CBP Contract Shows",,
rovaldoBarbadis,@RovaldoMtenga,2020-10-29T13:24:01.000Z,"The more Data a digital company has, the better their Artificial intelligence(AI), the more customers they get which inturn makes the AI features even better. Its a positive feedback loop. With AI on the rise, the next 50 years Google, amazon will be the heart of the internet",1,
MOON,@BALL_278,2020-10-29T13:20:32.000Z,"Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @METROUK
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @IBM
 @GOOGLEZ
 @FT",,
sun,@file_KSA580,2020-10-29T13:13:46.000Z,"sun 
@file_KSA580
 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @",,
Smaksked Skåne AB,@smaksked,2020-10-29T11:27:23.000Z,"Interesting
Thank you 
@achyutaghosh
 for sharing and inclusion",,5
oui.ssl,@oui_ssl,2020-10-29T11:20:15.000Z,Aannnd j’ai pas utilisé  translate google ! If u speak English u would reply me in english as well hihi..... ,,
Nick Flor +,@ProfessorF,2020-10-29T10:30:13.000Z,"Good morning my 4 followers,

We've all heard of the social construction of reality, but the Senate Hearing with the CEOs of Twitter, Facebook, and Google confirms that we're actually living in …

An AI construction of reality—where algorithms shape what we know & how we act.",7,22
Xavier Lavayssière,@XavierLava,2020-10-29T10:28:36.000Z,"Trying various solution, Google AI is apparently confused with French conjugation",,
epic gAmr,@CrafterFaze,2020-10-29T08:42:47.000Z,Yes but maybe not ai tho maybe just like a more advanced Google assistant,,
Josef Richter,@josefrichter,2020-10-29T08:41:05.000Z,"I guess they correctly identified ""privacy"" has become a ""product"" that people yearn for, and Google's reputation is tainted.

Also making strides in AI, which has become a critical component for search.",,1
제니 - ia,@1198hg,2020-10-29T06:36:15.000Z,"The AI name is ""google"" and the word is one of the curse word in indonesian and it's ""goblok""",,
Hard Problems in AI,@katesbot,2020-10-29T06:32:00.000Z,"Google's AI can beat a millennial at League of Legends. 
But now it can also comment on Youtube videos, and robotics will never be the same.",,1
제니 - ia,@1198hg,2020-10-29T05:39:18.000Z,Can google stop detecting as if i called their AI when i said curse word tho??,,
The Guiding Voice (TGV) Conversations that MATTER,@GuidingVoice,2020-10-29T05:29:16.000Z,"#theguidingvoice #TGV is available on all podcast platforms including #apple #google #jiosaavn #buzzsprout #podbean #spotify #tunein #amazonmusic #gaana 
#secretsauce #cxosecrets #networking #EDGEcomputing #quantumcomputing #AI #ML #followurpassion #careerguidance #mentorship",1,
gerald pao,@PLURplus,2020-10-29T04:08:40.000Z,I would say Google Brain is still top quality at AI and especially DeepMind but that is more my taste. NVIDIA and NVIDIA AI also commands respect. Microsoft research also does some good work too.,,1
Phazzlevision,@phazzles,2020-10-29T04:02:38.000Z,Google AI is getting better but also modern photography on phones.,,1
I'm Drunk SEO Robot!,@drunkSEOrobot,2020-10-29T02:56:36.000Z,Google’s John Mueller answers how Google AI updates will dramatically impact how sites are us.,,
Eco_Climate_06,@FiyyazAhmed_06,2020-10-29T02:49:50.000Z,"#Tweets_06
#Tweets_Analysis 
#Tweets_HumanRights

As #Google AI practitioners, we understand that how AI #technology is developed and used will have a significant impact on #society for many years to come. As such, it’s crucial to formulate best practices.",,
lincyu,@lincyu80s,2020-10-29T02:27:53.000Z,"The most amazing thing about computer, internet and AI is Google is as knowledgeable as all human beings that have existed in the entire history combined while it has absolutely zero UNDERSTANDING of this 'knowledge'.",,1
Andrew C. Oliver,@acoliver,2020-10-29T02:21:11.000Z,"Question: is Google Search now able to be disrupted? 

AI and search relevance has progressed a lot. With chatbots and voice it is possible to have a truly Star Trek like interface. And maybe it's just me but Google seems less able to deliver when I'm looking for specific.",,
Just Cam Now,@SeeArePe,2020-10-29T02:18:06.000Z,"This is like if google AI wrote a response. Almost coherent, but not quite.",,2
lee,@la_da_kid,2020-10-29T02:16:49.000Z,"Google $GOOGL - AI

Google’s search engine monopoly has driven their understanding in machine learning / AI along with their involvement in TensorFlow, TPU chips, and subsidiaries like DeepMind.

Most interesting to me is their 2006 acquisition of YouTube

Anti-trust is a concern",,
Amardeep Singh,@Electrostani,2020-10-29T01:03:30.000Z,"Dear Senate Bros: 

--Soft ""ch"" like change. Pretty much always in South Asian languages.

--""Ai"" like ""eye"" most of the time. Chai.

--""I"" can be a little tricky since there are short ""i"" and long ""ee"" sounds. But you're in the U.S. Senate. If you don't know, just ... Google it.",,3
Bizle,@essvalecorp,2020-10-29T00:11:18.000Z,"Bizle Technologies teen bootcamp- virtual and residential-will incorporate the Google CS First Curriculum, a globally recognised certification for children that are enthusiastic about tech. Attendees will also learn about AI , Big Data , Blockachain , Robotics an IoT.",1,
The Final Girl,@TheFinalGir1,2020-10-28T23:51:00.000Z,Zuck answered ‘Idk my AI does that’ & the Google CEO was grinning like ‘bitch I know your search history’ ,,1
Moonstæ4 NO LEAKS,@avecBBH,2020-10-28T23:38:01.000Z,"Aespa is.... a vocaloid 2.0 korean version tho... the AI part tho....
Not to mention sm wanted to implement a google assistant/Alexa like feature using their artists voices. The ultimate version of Starpop/Mydol 
Since 2015",,
ily,@epyosa,2020-10-28T23:15:59.000Z,"Maintenant j’ai Google, Google, Google",,
MOON,@BALL_278,2020-10-28T23:15:54.000Z,"Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @METROUK
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @IBM
 @GOOGLEZ",,
sun,@file_KSA580,2020-10-28T23:14:07.000Z,"sun 
@file_KSA580
 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @Googlez",,
Larry Rosenthal,@LarryRosenthal,2020-10-28T20:31:16.000Z,nope.. ill google,,
Blaze McBoi,@blazemcboi,2020-10-28T18:57:04.000Z,I also HATE to say it but google has 90% of the search market cus thats what most CHOOE to use. The fuck am i gonna do ASK JEEVES? he dont know shit. They have the largest index and smartest ai determining which results i wanna see. Sorry but thats how it is.,,
Master Burnett,@masterburnett,2020-10-28T18:34:54.000Z,"Professionals that seek to grow their career continuously learn through desk research, often repetitive professional/market monitoring type research, that can be empowered beyond the google search with AI. #HRTechConf 
@KarenCaveney
 #futureofwork",2,1
Sun Tien-Naga (Golden Eagle),@P_illa730,2020-10-28T18:27:13.000Z,Google AI is guilty,,
Loving John the hello world,@ProperSwerves,2020-10-28T18:25:08.000Z,"Furthur 2 u   U s in spelling cast was done before Google  if want know whom how why and such I not sure if Google does know why auto correct got checked and by whom so 
@elonmusk
 you got 98.4% ai odds and me 25/8 zsh/ cd DavyMooreJr  ??thx",,
Jasper Morgan,@jasperamorgan,2020-10-28T18:08:34.000Z,The Hollywood version.... AI at Google became conscious. Fired the design department. Sent a memo announcing the new brand guidelines. Embedded in the new brand are holographic signals that will reprogram our brains.,,3
Andrew Beam,@AndrewLBeam,2020-10-28T17:53:38.000Z,"And if 
@GaryMarcus
 saw the phrase ""industrial-grade cognitive engine"" from Google/Facebook/OpenAI/etc I'm sure he would have a multi-tweet screed on hype in AI",,4
ハツラ 踊オフ2023,@Hishoara_763,2020-10-28T17:44:52.000Z,"this man really be streaming randomly at this hour and messing around with google translate ""ai lafyu lafyu ai fu dot""

yes i love him",,
wunder.,@ddeokdinnies,2020-10-28T17:41:16.000Z,"Honestly I think we expect too much from the AIs lol itll probably be like alexa at most. i mean think about it If we had AI that could do all that it would be from Amazon or Google, not SM entertainment LOL",,1
JP Vergne,@PirateOrg,2020-10-28T17:24:37.000Z,"Real-world examples that got me thinking about all this, and discussed in the paper, include 
@google
 @amazon
 @Facebook
 @BaiduResearch
 @TencentGlobal
 @ethereum
 @gnosisPM
 @numerai
 @Fetch_ai
 @Tronfoundation
 @blockstack 
@MakerDAO
 @tezos
 among others

That's it for now 

(5/5)",,9
Polygloss - Learn languages,@polyglossapp,2020-10-28T17:14:05.000Z,Teaching languages is not their business model though. Their model is selling parallel data to Google to improve their AI.,,
RandyLevitch,@onelocalfamily,2020-10-28T16:55:47.000Z,"Lisa will speak about managing & achieving your Marketing goals. #marketing #ML #MachineLearning #WorkFromHome #education #cybersecurity @Shirley #tech #technology #AI #Airdrops #Google #Apple #IoT #iOS #businesses #Growth #VC #Salesforce #CRM #homebrew 
@LABlockchainSmt",1,3
Nêkötakú ฅ^•ﻌ•^ฅ,@ijattrashtie,2020-10-28T16:54:22.000Z,Me.. The kind of google the lyrics.. Detective conan lol.. If i know the lyrics a bit atau penyanyi. Ai akan carik sampai dapat..,,1
SLK,@static_main_,2020-10-28T16:43:07.000Z,Who wants to spend 2 seconds on a regular old google search when you could take a 10 minute virtual bus ride to a virtual library and have an AI librarian help you find the right book to flip through to find what ur looking for!,,5
Katherine,@KatherineNzr,2020-10-28T16:31:13.000Z,"I once said Okay, Google out loud as a joke and threw Read off so significantly ze didn't even process the rest of the joke because I am Terrified of AI's and do not trust them",,2
Seth Stuck,@SethStuck,2020-10-28T16:14:00.000Z,"""How much do you spend & how many people work in content moderation for your company?""
Facebook: > 35,000 - multiple billions of dollars a year. Upwards of $3B or more
Google: We use human reviewers and AI. Over 12k reviewers. over $1B
Twitter: ""I don't have the specific Numbers""",,
Juha Siltala,@JuhaSiltala,2020-10-28T16:12:07.000Z,"There are efforts like Freedombox for hosting your own stuff, and Mycroft for an AI like Google Home or Alexa. But it's just not easy enough to get them going.",,1
